Date,Close,Dividends
2004-10-28,108.66,0.38
2005-02-03,122.51,0.44
2005-07-06,124.1,0.63
2005-08-18,123.5,0.38
2005-10-18,135.75,0.38
2006-01-18,152.86,0.38
2006-06-16,159.5,0.56
2006-07-28,176.05,0.38
2006-10-23,205.37,0.75
2007-01-22,250.32,0.75
2007-06-15,226.47,1.0
2007-07-27,221.03,0.75
2007-10-22,206.05,0.75
2008-01-23,168.24,0.75
2008-06-18,174.77,1.25
2008-07-31,162.32,0.75
2008-10-29,105.93,0.75
2009-01-28,100.0,0.75
2009-06-16,154.36,1.25
2009-07-27,191.31,1.0
2009-10-28,256.85,1.0
2010-01-27,297.77,1.0
2010-06-15,310.89,5.0
2010-07-29,345.75,1.0
2010-11-01,429.3,1.0
2011-01-27,489.62,1.0
2011-06-08,485.57,4.0
2011-07-28,465.47,1.5
2011-10-25,454.0,1.5
2012-01-25,454.99,1.5
2012-06-07,517.22,4.0
2012-07-23,507.64,1.5
2012-10-31,551.23,1.5
2013-01-23,551.0,1.5
2013-06-06,623.21,6.5
2013-07-29,755.61,2.0
2013-10-25,879.91,2.0
2014-01-27,950.48,2.0
2014-06-06,897.04,10.0
2014-07-28,1131.78,20.0
2014-10-29,1097.61,2.5
2015-01-27,1098.05,2.5
2015-06-05,1140.95,12.0
2015-07-20,1144.86,2.75
2015-10-21,1127.96,5.5
2015-10-23,1133.61,2.75
2016-01-21,1009.76,2.75
2016-06-06,1182.24,13.5
2016-07-25,1161.0,3.25
2016-10-24,1104.41,3.25
2017-01-23,1052.36,3.25
2017-06-13,1130.95,13.75
2017-07-24,1170.75,3.5
2017-10-25,1187.48,3.5
2018-01-22,1449.06,3.5
2018-05-31,1632.57,14.5
2018-07-17,1881.19,4.0
2018-10-23,1735.91,4.0
2019-01-17,1787.43,4.0
2019-06-04,2076.6,18.0
2019-07-16,2007.94,5.0
2019-10-17,1974.99,40.0
2020-01-23,2135.42,5.0
2020-03-19,1606.53,12.0
2020-06-03,2014.77,6.0
2020-07-16,2205.41,5.0
2020-10-14,2784.54,12.0
2021-01-14,3227.83,6.0
2021-05-25,3107.22,15.0
2021-07-15,3202.95,7.0
