Date,Open,High,Low,Close,Volume
2021-09-15,3882.1,3980.0,3866.0,3954.55,2461369
2021-09-16,3930.0,3981.75,3892.1,3903.3,2946666
2021-09-14,3849.95,3896.5,3825.0,3885.9,1991188
2021-09-24,3890.0,3944.4,3855.0,3871.3,2320754
2021-09-23,3870.0,3879.0,3835.0,3869.25,2003869
2021-09-21,3858.0,3871.55,3821.65,3862.95,1568129
2021-09-22,3862.5,3896.85,3852.45,3862.15,1744067
2021-09-06,3849.7,3877.6,3814.0,3852.0,1723693
2021-09-13,3767.0,3852.4,3767.0,3845.35,1691473
2021-09-03,3825.0,3856.9,3804.55,3842.05,1746812
